,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall
0,0.10463526248931884,0.015707278431291247,0.020987415313720705,0.004310292126104597,4,auto,1,2,15,"{'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 15}",0.7301587301587301,0.6666666666666666,0.8493150684931507,0.7647058823529412,0.8405797101449276,0.7419354838709677,0.8000000000000002,0.6666666666666666,0.6969696969696969,0.7605633802816902,0.7517561285605439,0.0616644055845551,895,0.8518518518518519,0.7777777777777778,0.8378378378378378,0.7878787878787878,0.8529411764705882,0.8518518518518519,0.8,0.7096774193548387,0.7419354838709677,0.75,0.7961752186894502,0.04912821719746351,932,0.6388888888888888,0.5833333333333334,0.8611111111111112,0.7428571428571429,0.8285714285714286,0.6571428571428571,0.8,0.6285714285714286,0.6571428571428571,0.7714285714285715,0.7169047619047619,0.0909338536214205,815
1,0.12172477245330811,0.008418384948997423,0.023784995079040527,0.0031540303685583353,4,auto,1,2,20,"{'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20}",0.7187499999999999,0.6865671641791045,0.8285714285714286,0.7714285714285715,0.8484848484848486,0.6666666666666665,0.7837837837837838,0.6956521739130436,0.7619047619047619,0.7941176470588236,0.7555927045991032,0.05843542331912079,853,0.8214285714285714,0.7419354838709677,0.8529411764705882,0.7714285714285715,0.9032258064516129,0.75,0.7435897435897436,0.7058823529411765,0.8571428571428571,0.8181818181818182,0.7965756381505907,0.060103414321737984,929,0.6388888888888888,0.6388888888888888,0.8055555555555556,0.7714285714285715,0.8,0.6,0.8285714285714286,0.6857142857142857,0.6857142857142857,0.7714285714285715,0.7226190476190476,0.07787024791410443,765
2,0.15550425052642822,0.009462190228262245,0.024284863471984865,0.005913023894112277,4,auto,1,2,25,"{'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 25}",0.7301587301587301,0.7058823529411765,0.8169014084507044,0.7575757575757576,0.8307692307692307,0.7076923076923077,0.7462686567164178,0.6865671641791045,0.7164179104477612,0.8405797101449276,0.7538813229076118,0.05329754621968447,872,0.8518518518518519,0.75,0.8285714285714286,0.8064516129032258,0.9,0.7666666666666667,0.78125,0.71875,0.75,0.8529411764705882,0.8006482736463761,0.054230402976676216,899,0.6388888888888888,0.6666666666666666,0.8055555555555556,0.7142857142857143,0.7714285714285715,0.6571428571428571,0.7142857142857143,0.6571428571428571,0.6857142857142857,0.8285714285714286,0.7139682539682539,0.06320988884558336,852
3,0.1945798873901367,0.01679473278749635,0.025484085083007812,0.005496428253730532,4,auto,1,2,30,"{'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 30}",0.7096774193548387,0.7352941176470588,0.8405797101449276,0.7714285714285715,0.8656716417910447,0.7419354838709677,0.7428571428571429,0.6984126984126985,0.6969696969696969,0.8450704225352113,0.7647896905012159,0.060271490031870004,756,0.8461538461538461,0.78125,0.8787878787878788,0.7714285714285715,0.90625,0.8518518518518519,0.7428571428571429,0.7857142857142857,0.7419354838709677,0.8333333333333334,0.8139562393997879,0.05430238866517285,802,0.6111111111111112,0.6944444444444444,0.8055555555555556,0.7714285714285715,0.8285714285714286,0.6571428571428571,0.7428571428571429,0.6285714285714286,0.6571428571428571,0.8571428571428571,0.7253968253968255,0.08340435371244706,752
4,0.2173659086227417,0.021547219280997724,0.029181909561157227,0.004972735386890704,4,auto,1,2,35,"{'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 35}",0.78125,0.7384615384615385,0.8333333333333334,0.7428571428571429,0.8,0.73015873015873,0.75,0.6666666666666665,0.65625,0.8,0.7498977411477411,0.0540668491886777,913,0.8928571428571429,0.8275862068965517,0.8333333333333334,0.7428571428571429,0.8666666666666667,0.8214285714285714,0.7297297297297297,0.75,0.7241379310344828,0.8666666666666667,0.8055263391470289,0.059996247994650025,871,0.6944444444444444,0.6666666666666666,0.8333333333333334,0.7428571428571429,0.7428571428571429,0.6571428571428571,0.7714285714285715,0.6,0.6,0.7428571428571429,0.7051587301587301,0.07148608795405621,922
5,0.10353617668151856,0.012118685437961723,0.024784541130065917,0.005823929474604553,4,auto,1,3,15,"{'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 15}",0.7301587301587301,0.6666666666666666,0.8611111111111112,0.7575757575757576,0.7692307692307692,0.7619047619047619,0.7777777777777778,0.6969696969696969,0.7272727272727272,0.8695652173913043,0.7618233216059304,0.06103361054779697,781,0.8518518518518519,0.7777777777777778,0.8611111111111112,0.8064516129032258,0.8333333333333334,0.8571428571428571,0.7567567567567568,0.7419354838709677,0.7741935483870968,0.8823529411764706,0.814290727431145,0.046885229256613925,797,0.6388888888888888,0.5833333333333334,0.8611111111111112,0.7142857142857143,0.7142857142857143,0.6857142857142857,0.8,0.6571428571428571,0.6857142857142857,0.8571428571428571,0.7197619047619048,0.08760369804587403,783
6,0.14011337757110595,0.018518594650973184,0.02878255844116211,0.009457903098539241,4,auto,1,3,20,"{'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 20}",0.75,0.6865671641791045,0.8169014084507044,0.7272727272727272,0.8823529411764706,0.7936507936507937,0.7297297297297296,0.6969696969696969,0.7246376811594202,0.75,0.7558082142588647,0.05654001719801027,849,0.8571428571428571,0.7419354838709677,0.8285714285714286,0.7741935483870968,0.9090909090909091,0.8928571428571429,0.6923076923076923,0.7419354838709677,0.7352941176470589,0.8275862068965517,0.8000914870642672,0.06968447212231564,905,0.6666666666666666,0.6388888888888888,0.8055555555555556,0.6857142857142857,0.8571428571428571,0.7142857142857143,0.7714285714285715,0.6571428571428571,0.7142857142857143,0.6857142857142857,0.7196825396825397,0.06675523217641963,786
7,0.20327475070953369,0.024857235831191267,0.04337332248687744,0.01682527074230005,4,auto,1,3,25,"{'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 25}",0.7076923076923076,0.6666666666666666,0.8767123287671232,0.7536231884057971,0.8125,0.6885245901639345,0.7042253521126761,0.634920634920635,0.7076923076923077,0.8405797101449276,0.7393137086566376,0.07528627908924572,953,0.7931034482758621,0.7777777777777778,0.8648648648648649,0.7647058823529411,0.896551724137931,0.8076923076923077,0.6944444444444444,0.7142857142857143,0.7666666666666667,0.8529411764705882,0.7933034006969097,0.06109850324789569,945,0.6388888888888888,0.5833333333333334,0.8888888888888888,0.7428571428571429,0.7428571428571429,0.6,0.7142857142857143,0.5714285714285714,0.6571428571428571,0.8285714285714286,0.6968253968253968,0.1008461305697667,949
8,0.24640307426452637,0.03811482349314343,0.03607616424560547,0.009371104757748088,4,auto,1,3,30,"{'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 30}",0.75,0.6875000000000001,0.8857142857142858,0.7575757575757576,0.823529411764706,0.7812500000000001,0.7428571428571429,0.65625,0.7384615384615385,0.823529411764706,0.7646667548138136,0.06402640297085677,757,0.8571428571428571,0.7857142857142857,0.9117647058823529,0.8064516129032258,0.8484848484848485,0.8620689655172413,0.7428571428571429,0.7241379310344828,0.8,0.8484848484848485,0.8187107198021286,0.05484152383526747,768,0.6666666666666666,0.6111111111111112,0.8611111111111112,0.7142857142857143,0.8,0.7142857142857143,0.7428571428571429,0.6,0.6857142857142857,0.8,0.7196031746031746,0.07973410239607667,792
9,0.29537439346313477,0.05689271972463868,0.03857641220092774,0.012290574034009407,4,auto,1,3,35,"{'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 35}",0.6875000000000001,0.6666666666666666,0.8405797101449276,0.7605633802816902,0.8484848484848486,0.7941176470588236,0.8055555555555555,0.6865671641791045,0.71875,0.8484848484848486,0.7657269820856466,0.06791552704623433,751,0.7857142857142857,0.7777777777777778,0.8787878787878788,0.75,0.9032258064516129,0.8181818181818182,0.7837837837837838,0.71875,0.7931034482758621,0.9032258064516129,0.8112550605424632,0.060574316422489165,830,0.6111111111111112,0.5833333333333334,0.8055555555555556,0.7714285714285715,0.8,0.7714285714285715,0.8285714285714286,0.6571428571428571,0.6571428571428571,0.8,0.7285714285714286,0.08654433485031704,735
